Last Access,FINAL Submission Area  [Total Pts: 100 Score] |531746,Re-Assessment FINAL submission area - Digital Portfolio [Total Pts: 100 Score] |566233,08/11/2021,15/11/2021,22/11/2021,29/11/2021,06/12/2021,13/12/2021,DegreeDesc,Directorate,Disability Description,Domicile,Ethnicity,Gender,GreaterManchIndicator,HQE,HQECategory,HQECode,Nationality,ParentalEd,PostcodeonEntry,PrevInstName,ProgramTitle,Region,ResidencySummary,UK_Region,YearofProgram
12/08/2022 01:32,72,0,19.23590156,0,0,0,22.05765672,0,Master of Science,Operations & Information Management,No known disability,India,Asian or Asian British -Indian,Male,-,Non-UK first degree,Degree or Higher,HZZ,India,Information refused,500015,-,Managing Innov & IT (Nov) FT,Non-EU,Overseas,-,1
27/09/2022 17:20,50,0,0,0,0,0,0,24.29271307,Master of Science,Operations & Information Management,No known disability,India,Asian or Asian British -Indian,Male,-,Non-UK first degree,Degree or Higher,HZZ,India,No,136027,-,Managing Innov & IT (Sep) FT,Non-EU,Overseas,-,1
29/11/2022 11:48,50,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,India,Asian or Asian British -Indian,Female,-,Non-UK first degree,Degree or Higher,HZZ,India,Yes,136034,-,Managing Innov & IT (Sep) FT,Non-EU,Overseas,-,1
08/11/2022 16:55,58,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Black or Black British African,Female,-,Non-UK first degree,Degree or Higher,HZZ,Nigeria,Information refused,-,-,Managing Innov & IT (Sep) FT,Non-EU,Overseas,-,1
06/10/2022 01:21,53,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,Deaf or Hearing Impaired,England,Arab,Male,1,Non-UK first degree,Degree or Higher,HZZ,United Kingdom,Yes,M8 4GZ,-,Digital Business (Sep) FT,UK,Home/EU,North West,1
06/10/2022 01:21,53,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,Deaf or Hearing Impaired,England,Arab,Male,1,Non-UK first degree,Degree or Higher,HZZ,United Kingdom,Yes,M8 4GZ,-,Digital Business (Sep) FT,UK,Home/EU,North West,1
27/09/2022 15:46,74,0,0,0,0,17.64550894,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Black or Black British African,Male,-,Non-UK first degree,Degree or Higher,HZZ,Nigeria,Yes,-,-,Digital Business (Sep) FT,Non-EU,Overseas,-,1
08/11/2022 09:59,75,0,0,0,303.1714862,0,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Black or Black British African,Male,-,Non-UK first degree,Degree or Higher,HZZ,Nigeria,Yes,-,-,Managing Innov & IT (Nov) FT,Non-EU,Overseas,-,1
12/07/2022 13:27,64,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Black or Black British African,Male,-,Non-UK first degree,Degree or Higher,HZZ,Nigeria,Yes,-,-,Managing Innov & IT (Nov) FT,Non-EU,Overseas,-,1
30/09/2022 08:08,67,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,"Iran [Iran, Islamic Republic of]",Other Asian Background,Male,-,Non-UK first degree,Degree or Higher,HZZ,"Iran [Iran, Islamic Republic of]",Yes,-,-,Digital Business (Sep) FT,Non-EU,Overseas,-,1
21/08/2022 18:05,55,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Black or Black British African,Male,-,Non-UK first degree,Degree or Higher,HZZ,Nigeria,Yes,-,-,Managing Innov & IT (Sep) FT,Non-EU,Overseas,-,1
23/08/2022 09:28,50,0,0,0,0,18.02884227,0,0,Master of Science,Operations & Information Management,No known disability,India,Asian or Asian British -Indian,Male,-,Non-UK first degree,Degree or Higher,HZZ,India,Yes,-,-,Managing Innov & IT (Sep) FT,Non-EU,Overseas,-,1
19/11/2022 16:53,73,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,England,White,Male,-,UK First degree (Honours),Degree or Higher,HUK,United Kingdom,Yes,PL17 8BP,Peter Symonds College,Digital Business (Sep) FT,UK,Home/EU,South West,1
26/09/2022 13:57,55,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Other Black Background,Male,-,Non-UK first degree,Degree or Higher,HZZ,Nigeria,Yes,234,-,Digital Business (Sep) FT,Non-EU,Overseas,-,1
26/09/2022 13:28,62,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Black or Black British African,Male,-,Non-UK masters degree,Degree or Higher,MZZ,Nigeria,Yes,-,-,Digital Business (Sep) FT,Non-EU,Overseas,-,1
23/08/2022 13:40,50,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,India,Asian or Asian British -Indian,Female,-,Non-UK first degree,Degree or Higher,HZZ,India,No,686582,-,Managing Innov & IT (Sep) FT,Non-EU,Overseas,-,1
27/02/2023 14:14,66,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,Nigeria,Black or Black British African,Female,-,Non-UK first degree,Degree or Higher,HZZ,Nigeria,No,234,-,Digital Business (Sep) FT,Non-EU,Overseas,-,1
07/02/2023 17:21,78,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,England,White,Male,-,UK First degree (Honours),Degree or Higher,HUK,United Kingdom,No,WA4 2JL,Lymm High School,Digital Business (Sep) FT,UK,Home/EU,North West,1
23/05/2022 13:47,60,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,India,Asian or Asian British -Indian,Male,-,Non-UK first degree,Degree or Higher,HZZ,India,Yes,683585,-,Digital Business (Sep) FT,Non-EU,Overseas,-,1
03/09/2022 20:38,56,0,0,0,0,0,0,0,Master of Science,Operations & Information Management,No known disability,India,Asian or Asian British -Indian,Female,-,Non-UK first degree,Degree or Higher,HZZ,India,Yes,673592,-,Managing Innov & IT (Sep) FT,Non-EU,Overseas,-,1
